,date_start,year,no_of_events
770,2006-01-01,6018,3
771,2006-01-02,2006,1
772,2006-01-05,8024,4
773,2006-01-07,4012,2
774,2006-01-08,2006,1
775,2006-01-09,4012,2
776,2006-01-11,2006,1
777,2006-01-13,8024,4
778,2006-01-14,2006,1
779,2006-01-16,4012,2
780,2006-01-17,4012,2
781,2006-01-20,2006,1
782,2006-01-22,2006,1
783,2006-01-23,4012,2
784,2006-01-24,2006,1
785,2006-01-25,4012,2
786,2006-01-28,4012,2
787,2006-01-30,2006,1
788,2006-02-01,2006,1
789,2006-02-02,2006,1
790,2006-02-05,2006,1
791,2006-02-06,4012,2
792,2006-02-07,2006,1
793,2006-02-08,2006,1
794,2006-02-09,2006,1
795,2006-02-11,4012,2
796,2006-02-12,2006,1
797,2006-02-13,2006,1
798,2006-02-14,2006,1
799,2006-02-15,2006,1
800,2006-02-16,2006,1
801,2006-02-18,2006,1
802,2006-02-19,4012,2
803,2006-02-20,2006,1
804,2006-02-21,2006,1
805,2006-02-22,2006,1
806,2006-02-24,4012,2
807,2006-02-28,2006,1
808,2006-03-01,4012,2
809,2006-03-02,2006,1
810,2006-03-05,2006,1
811,2006-03-07,4012,2
812,2006-03-08,2006,1
813,2006-03-10,2006,1
814,2006-03-11,4012,2
815,2006-03-12,2006,1
816,2006-03-13,6018,3
817,2006-03-15,4012,2
818,2006-03-16,2006,1
819,2006-03-17,2006,1
820,2006-03-19,4012,2
821,2006-03-21,2006,1
822,2006-03-22,2006,1
823,2006-03-23,4012,2
824,2006-03-24,2006,1
825,2006-03-27,4012,2
826,2006-03-28,4012,2
827,2006-03-29,2006,1
828,2006-03-30,2006,1
829,2006-04-01,4012,2
830,2006-04-02,2006,1
831,2006-04-04,2006,1
832,2006-04-05,2006,1
833,2006-04-06,2006,1
834,2006-04-07,2006,1
835,2006-04-09,6018,3
836,2006-04-10,2006,1
837,2006-04-11,2006,1
838,2006-04-12,6018,3
839,2006-04-13,6018,3
840,2006-04-15,4012,2
841,2006-04-16,6018,3
842,2006-04-17,4012,2
843,2006-04-20,2006,1
844,2006-04-21,2006,1
845,2006-04-22,2006,1
846,2006-04-23,2006,1
847,2006-04-24,2006,1
848,2006-04-25,4012,2
849,2006-04-26,4012,2
850,2006-04-27,4012,2
851,2006-04-28,6018,3
852,2006-04-30,2006,1
853,2006-05-01,2006,1
854,2006-05-02,4012,2
855,2006-05-03,4012,2
856,2006-05-04,2006,1
857,2006-05-07,4012,2
858,2006-05-08,2006,1
859,2006-05-09,2006,1
860,2006-05-10,2006,1
861,2006-05-12,2006,1
862,2006-05-13,4012,2
863,2006-05-14,8024,4
864,2006-05-15,8024,4
865,2006-05-16,2006,1
866,2006-05-17,2006,1
867,2006-05-18,4012,2
868,2006-05-20,2006,1
869,2006-05-21,6018,3
870,2006-05-22,4012,2
871,2006-05-23,10030,5
